CustomerID,Recency,Frequency,Monetary,Monetary_log,Cluster
12347,20,4,2205.95,7.699366750812065,
12348,85,3,1487.24,7.305349492709732,
12350,147,1,334.4,5.815323849389109,
12352,99,4,721.51,6.582731260721253,
12353,41,1,89.0,4.499809670330265,
12354,69,1,1079.4,6.985086621918461,
12355,51,1,459.4,6.132095676847728,
12356,82,2,2753.08,7.920838727523195,
12359,26,3,2705.73,7.9034965432286395,
12360,37,1,1083.58,6.98894809425907,
12361,124,1,189.9,5.251749730731702,
12362,62,2,974.34,6.8827861281585925,
12363,79,1,299.1,5.704115752446321,
12365,128,1,320.69,5.773588348900164,
12370,111,3,2806.41,7.940017629108557,
12372,49,2,914.9200000000001,6.819929024615557,
12373,148,1,364.6,5.901539839579995,
12377,152,2,1628.12,7.395795270713971,
12379,7,1,459.84,6.133050911169852,
12380,22,1,607.5500000000001,6.411079078320566,
12383,21,5,1850.56,7.523783805985769,
12386,174,2,401.9,5.998688392197302,
12388,112,3,766.25,6.642812693499845,
12393,82,3,1061.1000000000001,6.968003359327494,
12394,54,1,381.08,5.945630010764183,
12395,48,6,1569.72,7.359289391944212,
12399,20,3,899.03,6.8024280961021,
12401,140,1,84.3,4.446174454497633,
12402,160,1,225.6,5.423186348593906,
12406,20,1,1621.25,7.391569353501278,
12407,72,2,495.96,6.208509539960322,
12408,12,3,1491.77,7.30838873342812,
12409,19,1,6207.08,8.733606948377961,
12410,145,2,693.3299999999999,6.542947351813216,
12412,6,1,514.5,6.245137303457015,
12413,73,2,563.9,6.336648724331217,
12414,54,3,562.41,6.334007604663525,
12415,14,8,71979.27,11.184147332667942,
12417,24,5,1898.27,7.549224880800441,
12421,10,2,396.8,5.985949366419872,
12422,5,2,655.86,6.487470905975622,
12423,28,6,1451.69,7.2811722891214075,
12426,31,1,582.73,6.369438547154207,
12427,208,1,303.5,5.718671087149952,
12428,79,5,5759.34,8.658751779725645,
12429,9,3,2844.88,7.953627613319531,
12431,37,7,3158.53,8.058178561341718,
12432,9,2,3316.6600000000003,8.107014994131546,
12433,203,2,3787.12,8.239625132790472,
12434,97,1,286.25,5.660352916728865,
12435,104,1,3978.9900000000002,8.289034585712512,
12437,14,9,2476.73,7.81509809741487,
12441,203,1,173.55,5.162211233551045,
12444,8,1,1870.2,7.534335215269969,
12447,80,1,476.49,6.168543217293113,
12449,24,1,858.9300000000001,6.756850990585935,
12450,10,1,101.88,4.633563260489309,
12451,55,2,5307.82,8.577124867318746,
12455,26,3,1963.3,7.58289122674023,
12456,91,1,940.1700000000001,6.847123782142069,
12457,70,3,1067.25,6.9737770745241345,
12458,121,1,441.92,6.093389166829907,
12462,140,1,762.11,6.637402188652131,
12463,12,3,985.79,6.894457250838148,
12464,37,4,544.8499999999999,6.302344212726278,
12465,6,1,440.94,6.091174126256959,
12468,24,2,729.5400000000001,6.593783986707386,
12471,47,13,8397.32,9.035786964828738,
12472,16,4,4315.5,8.370200167675577,
12473,28,1,672.1899999999999,6.512027607779704,
12474,3,10,3191.14,8.068446817257016,
12476,55,5,2445.1,7.802250198485835,
12477,76,2,4576.97,8.429010947411093,
12480,104,2,1587.27,7.370400652543354,
12481,16,8,4101.76,8.319415196946323,
12483,20,5,1314.6100000000001,7.182055715380572,
12484,13,2,2276.66,7.730903879136338,
12489,173,1,334.93,5.816902804925467,
12490,9,3,1679.78,7.427013250364327,
12493,2,2,433.74,6.0747481512447195,
12494,33,4,715.64,6.57457362245899,
12500,5,5,1395.8400000000001,7.2419678215596175,
12501,173,1,2169.39,7.682662153888476,
12502,54,3,1842.65,7.5195025813291,
