CustomerID,CLV,churn_probability,CLV_Segment,Churn_Risk,Combined_Segment,Recommendations,Priority_Score
13093,2369.7242665508084,2.495852191586323e-09,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9908069458631257
13854,1731.9899758162971,6.015703490902524e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9785495403472931
17850,1307.367513722269,8.722307320851996e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9756554307116105
16210,2723.533718325644,3.455684627340361e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9744637385086823
12939,2067.492961562597,4.037326029049382e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9741232550221315
12753,3207.726886239602,3.089470901329605e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9725910793326524
16684,7742.462161383779,2.8623658998583323e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9722505958461014
12471,2122.6629344182606,3.29557048317497e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9695267279536943
17315,1078.9645260402342,6.522320461499476e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9640789921688797
15808,984.7507611584778,1.2032976837161868e-09,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.961525366019748
12681,2666.335807521721,2.4461765946171e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9606741573033708
17404,3718.0488150770457,2.3199020482422839e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9606741573033708
13089,10325.67856519881,2.1828450158523083e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.958120531154239
14056,1640.4301874701914,2.726463499413967e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9567585972080355
16837,1201.6905198446352,3.358942013420574e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.95658835546476
17017,1280.388199644211,3.023774564070436e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9545454545454546
13694,9873.100350057706,2.0852986004626928e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9538644875723528
12539,1157.6153609377047,3.232147882670233e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9536942458290774
13081,4002.665088175843,2.0542101353271391e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.95097037793667
16133,2657.2113686168673,2.0699886249531119e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.947906026557712
16191,780.6780998570953,6.899365523338474e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9468845760980593
13468,1192.105294337261,2.6495938776349703e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9465440926115083
15235,809.5889259293934,6.201568147901071e-10,Loyal,Low,Loyal_Low,"['Loyalty program rewards', 'Personalized product recommendations', 'Birthday/anniversary specials', 'Exclusive member discounts']",0.9462036091249575
